geo_code,class,Comments,Look into
E01033543,rising population stable cars,Newcastle - compex change,
E01033545,rising population slowly rising cars,Newcastl lots of construction,
E01008775,rising population stable cars,"Change in commerical land, no house changes",
E01033483,rising population stable cars,Large demoliton - needs investigation,
E01027682,rising population stable cars,"Change on millitary base, large rural area",
E01013406,rising population stable cars,house building,
E01027662,rising population stable cars,Small commericla land change,
E01027734,rising population stable cars,"Large rural area, change unclear",
E01011278,rising population slowly rising cars,"Significnat house building, plus school?",
E01033689,rising population stable cars,Commerical changes?,
E01033031,rising population stable cars,"Changes in commerical land use, and construction",
E01033008,rising population stable cars,Leeds - large amount student accomadation,
E01033692,rising population falling cars,"Tower block replaced with housses, new flats/office??",
E01033033,rising population stable cars,New flats built,
E01033690,rising population stable cars,large change in commerical use,
E01033034,rising population stable cars,Housing building an chages in commercial,
E01033018,rising population falling cars,Lots of commericla land use change new car parks,
E01010614,rising population stable cars,significant house building,
E01033223,rising population stable cars,No clear change in land use,
E01033109,rising population slowly rising cars,Demolition,
E01033495,rising population falling cars,Lots of house building,
E01010994,rising population falling cars,change in commerical land???,
E01011916,rising population falling cars,large change in commerical use,
E01011107,stable population falling cars,"Huddersfield, construction / demoliton unclear",
E01033220,rising population stable cars,Lots of commercial developments,
E01033217,rising population stable cars,Commerical developmetns and house building?,
E01013144,rising population falling cars,"Change in commerical alnd, large number of car parks, perhaps car sales?",
E01005054,rising population stable cars,Significnat construction - indisutral estate?,
E01006349,rising population stable cars,Changes - commercial??,
E01033665,rising population stable cars,Major commercial developments some flats?,
E01033674,rising population stable cars,Commercial developments and house building. Prison,
E01033655,rising population stable cars,Lots of flats and some commercial development,
E01032911,rising population stable cars,flats/office built,
E01033651,rising population stable cars,Commercial and some flats?,
E01033664,rising population stable cars,"Commerical development and demolition, some flats? Large signature building",
E01005632,rising population slowly rising cars,New homes built,
E01032687,rising population stable cars,Flats built,
E01032909,stable population and cars,flats/office built car pars removed?,
E01033659,rising population falling cars,Large commercial development and flats?,
E01033653,rising population stable cars,falts or offices?,
E01033661,rising population stable cars,"Commerical or flats, next to manchester picadilly station",
E01033681,rising population stable cars,Lots of flats/offices and some commerical buildings,
E01033677,stable population falling cars,Block of flats/offices built pedestranisation?,
E01033682,rising population falling cars,flats / offices,
E01033662,rising population falling cars,flats / offices,
E01033673,rising population slowly rising cars,Loads of flats,
E01033683,rising population stable cars,flats and demolition,
E01032685,stable population falling cars,Lots of flats/offices towers built,
E01033660,rising population stable cars,Lots of flats,
E01006149,stable population falling cars,No clear change in land use,
E01012460,rising population slowly rising cars,Lots of commeric development,
E01033752,rising population stable cars,City centre some redevelopment,
E01033761,rising population falling cars,City centre lots of redevelopment,
E01033269,rising population slowly rising cars,Urban industrial area some redevelopment,
E01033300,rising population stable cars,Town centre some redevelopment,
E01033263,rising population slowly rising cars,City centre new flats and redevelopment,
E01033261,rising population falling cars,City centre major flat building,
E01033264,rising population stable cars,City centre new flats and redevelopment,
E01033748,rising population slowly rising cars,New housing business park?,
E01008105,stable population and cars,New flats/offices built,
E01005317,rising population falling cars,"large commerical developments, manchester airport, new houses and flats",Yes
E01033387,rising population stable cars,Town centre new housing on ex inustiural site,yes
W01000329,rising population stable cars,Commercial development,
E01032989,rising population slowly rising cars,Majopr house building on rural land,
E01029604,rising population falling cars,Town centre lots of redevelopment flats?,
E01033395,stable population falling cars,Flats,
E01033406,rising population stable cars,Small amount of house building,
E01033407,rising population stable cars,No clear change in land use,
E01032522,rising population slowly rising cars,Town centre / residential no clear change in land use,
E01033400,rising population stable cars,City centre redevelopment,
E01033402,rising population slowly rising cars,City centre new flats and commerical redevelopment,
E01013928,rising population stable cars,Town centre and industrail estate lots of redevelopment,
